ensemble,cycle,reference_datetime,horizon,datetime,site_id,variable,prediction
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,PRES,99939.65625
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,TMP,27.150018310546898
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,RH,49.140037536621094
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,UGRD,-2.2429466247558594
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,VGRD,0.7388500571250916
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,APCP,0
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,TCDC,0
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,DSWRF,0
gec00,00,2022-09-22,003,2022-09-22T03:00:00Z,rc,DLWRF,389
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,PRES,99939.2421875
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,TMP,25.192132568359398
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,RH,54.30942916870117
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,UGRD,0.3333691358566284
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,VGRD,1.61093008518219
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,APCP,0
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,TCDC,0
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,DSWRF,1
gec00,00,2022-09-22,006,2022-09-22T06:00:00Z,rc,DLWRF,386
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,PRES,99947.9609375
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,TMP,24.470452880859398
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,RH,58.16715621948242
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,UGRD,1.5146337747573853
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,VGRD,1.6354467868804932
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,APCP,0
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,TCDC,0
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,DSWRF,0
gec00,00,2022-09-22,009,2022-09-22T09:00:00Z,rc,DLWRF,379
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,PRES,100019.9921875
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,TMP,23.350000000000023
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,RH,65.701904296875
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,UGRD,2.0164501667022705
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,VGRD,1.017309546470642
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,APCP,0
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,TCDC,0
gec00,00,2022-09-22,012,2022-09-22T12:00:00Z,rc,DSWRF,0
