ensemble,cycle,reference_datetime,horizon,datetime,site_id,variable,prediction
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,PRES,100578.5546875
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,TMP,21.808557128906273
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,RH,84.67559814453125
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,UGRD,-3.2496654987335205
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,VGRD,0.5137072801589966
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,APCP,0.3799999952316284
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,TCDC,0
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,003,2022-11-08T03:00:00Z,rc,DLWRF,378.00091552734375
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,PRES,100618.5546875
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,TMP,20.643518066406273
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,RH,91.22853088378906
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,UGRD,-2.914565324783325
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,VGRD,1.2910876274108887
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,APCP,0.429999977350235
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,TCDC,10
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,006,2022-11-08T06:00:00Z,rc,DLWRF,376
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,PRES,100586.15625
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,TMP,19.691857910156273
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,RH,94.92875671386719
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,UGRD,-2.549062490463257
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,VGRD,0.7655700445175171
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,APCP,0
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,TCDC,5
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,009,2022-11-08T09:00:00Z,rc,DLWRF,367
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,PRES,100691.6640625
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,TMP,18.971215820312523
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,RH,96.0079116821289
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,UGRD,-2.7148754596710205
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,VGRD,0.6394237875938416
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,APCP,0
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,TCDC,3
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,012,2022-11-08T12:00:00Z,rc,DLWRF,364
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,PRES,100849.546875
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,TMP,21.535913085937523
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,RH,88.2347412109375
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,UGRD,-3.4556078910827637
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,VGRD,1.3650708198547363
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,APCP,0
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,TCDC,16
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,DSWRF,110
gec00,00,2022-11-08,015,2022-11-08T15:00:00Z,rc,DLWRF,362
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,PRES,100755.453125
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,TMP,26.462548828125023
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,RH,66.00395965576172
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,UGRD,-2.7860631942749023
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,VGRD,2.722407102584839
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,APCP,0
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,TCDC,39
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,DSWRF,290
gec00,00,2022-11-08,018,2022-11-08T18:00:00Z,rc,DLWRF,373
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,PRES,100539.5390625
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,TMP,27.368157958984398
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,RH,59.52138900756836
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,UGRD,-2.6844615936279297
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,VGRD,2.5968968868255615
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,APCP,0.019999999552965164
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,TCDC,93
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,DSWRF,390
gec00,00,2022-11-08,021,2022-11-08T21:00:00Z,rc,DLWRF,418
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,PRES,100516.4140625
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,TMP,23.667474365234398
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,RH,74.107421875
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,UGRD,-3.088094472885132
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,VGRD,0.3511059582233429
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,APCP,0.10000000149011612
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,TCDC,95
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,DSWRF,248
gec00,00,2022-11-08,024,2022-11-09T00:00:00Z,rc,DLWRF,409
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,PRES,100621.4609375
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,TMP,22.137658691406273
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,RH,80.8868179321289
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,UGRD,-3.713259220123291
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,VGRD,1.5438647270202637
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,APCP,0.019999999552965164
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,TCDC,100
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,027,2022-11-09T03:00:00Z,rc,DLWRF,384.8562316894531
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,PRES,100570.0546875
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,TMP,20.814569091796898
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,RH,79.49201202392578
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,UGRD,-1.4361975193023682
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,VGRD,3.1363158226013184
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,APCP,0.019999999552965164
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,TCDC,100
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,030,2022-11-09T06:00:00Z,rc,DLWRF,379
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,PRES,100523.5859375
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,TMP,19.642816162109398
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,RH,82.71991729736328
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,UGRD,-0.47511228919029236
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,VGRD,2.570366144180298
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,APCP,0
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,TCDC,100
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,033,2022-11-09T09:00:00Z,rc,DLWRF,366
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,PRES,100541.7421875
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,TMP,18.883508300781273
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,RH,86.34944152832031
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,UGRD,-1.2110472917556763
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,VGRD,2.589426279067993
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,APCP,0
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,TCDC,98
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,DSWRF,0
gec00,00,2022-11-08,036,2022-11-09T12:00:00Z,rc,DLWRF,363
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,PRES,100662.859375
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,TMP,21.690209960937523
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,RH,77.7728500366211
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,UGRD,-1.2312304973602295
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,VGRD,3.146989583969116
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,APCP,0
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,TCDC,97
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,DSWRF,100
gec00,00,2022-11-08,039,2022-11-09T15:00:00Z,rc,DLWRF,356
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,PRES,100484.46875
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,TMP,26.082940673828148
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,RH,58.6688232421875
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,UGRD,-1.5678515434265137
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,VGRD,5.712851524353027
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,APCP,0
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,TCDC,95
gec00,00,2022-11-08,042,2022-11-09T18:00:00Z,rc,DSWRF,300
