ensemble,cycle,reference_datetime,horizon,datetime,site_id,variable,prediction
gec00,00,2022-10-29,021,2022-10-29T21:00:00Z,rc,DLWRF,381.05584716796875
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,PRES,99968.3984375
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,TMP,15.435784912109398
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,RH,84.71824645996094
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,UGRD,2.0665526390075684
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,VGRD,-2.9710447788238525
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,APCP,0
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,TCDC,94
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,DSWRF,150
gec00,00,2022-10-29,024,2022-10-30T00:00:00Z,rc,DLWRF,379
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,PRES,100065.6484375
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,TMP,14.583276367187523
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,RH,89.01045989990234
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,UGRD,2.3769519329071045
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,VGRD,-2.9222679138183594
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,APCP,0
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,TCDC,64
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,DSWRF,0
gec00,00,2022-10-29,027,2022-10-30T03:00:00Z,rc,DLWRF,347.190673828125
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,PRES,100008.1015625
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,TMP,13.638635253906273
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,RH,90.3334732055664
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,UGRD,2.8794238567352295
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,VGRD,-1.5466967821121216
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,APCP,0
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,TCDC,75
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,DSWRF,0
gec00,00,2022-10-29,030,2022-10-30T06:00:00Z,rc,DLWRF,354
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,PRES,99955.5546875
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,TMP,11.922631835937523
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,RH,92.9100341796875
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,UGRD,3.970283031463623
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,VGRD,-1.432155728340149
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,APCP,0
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,TCDC,18
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,DSWRF,0
gec00,00,2022-10-29,033,2022-10-30T09:00:00Z,rc,DLWRF,308.190673828125
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,PRES,99988.609375
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,TMP,11.205926513671898
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,RH,93.4998550415039
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,UGRD,2.946420907974243
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,VGRD,-1.6879345178604126
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,APCP,0
gec00,00,2022-10-29,036,2022-10-30T12:00:00Z,rc,TCDC,11
