ensemble,cycle,reference_datetime,horizon,datetime,site_id,variable,prediction
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,PRES,99754.9765625
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,TMP,18.039392089843773
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,RH,43.079158782958984
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,UGRD,0.629162609577179
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,VGRD,1.7699170112609863
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,APCP,0
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,003,2022-10-21T03:00:00Z,rc,DLWRF,323
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,PRES,99743.8515625
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,TMP,15.785974121093773
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,RH,51.71445846557617
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,UGRD,0.9246606230735779
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,VGRD,2.968085765838623
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,APCP,0
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,006,2022-10-21T06:00:00Z,rc,DLWRF,317.5505065917969
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,PRES,99705.8359375
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,TMP,14.599511718750023
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,RH,60.46145248413086
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,UGRD,1.6108251810073853
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,VGRD,3.731940746307373
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,APCP,0
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,009,2022-10-21T09:00:00Z,rc,DLWRF,303
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,PRES,99782.53125
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,TMP,13.277093505859398
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,RH,68.52259826660156
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,UGRD,1.906166911125183
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,VGRD,3.5707714557647705
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,APCP,0
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,012,2022-10-21T12:00:00Z,rc,DLWRF,300
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,PRES,99904.3984375
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,TMP,20.612451171875023
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,RH,45.02372360229492
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,UGRD,3.206679582595825
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,VGRD,3.990776300430298
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,APCP,0
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,DSWRF,160
gec00,00,2022-10-21,015,2022-10-21T15:00:00Z,rc,DLWRF,299
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,PRES,99771.7109375
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,TMP,29.619073486328148
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,RH,25.41523551940918
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,UGRD,3.5249316692352295
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,VGRD,4.721987247467041
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,APCP,0
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,DSWRF,410
gec00,00,2022-10-21,018,2022-10-21T18:00:00Z,rc,DLWRF,316
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,PRES,99517.8046875
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,TMP,31.336511230468773
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,RH,21.610107421875
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,UGRD,2.86773681640625
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,VGRD,6.34735107421875
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,APCP,0
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,DSWRF,680
gec00,00,2022-10-21,021,2022-10-21T21:00:00Z,rc,DLWRF,358
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,PRES,99479.6640625
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,TMP,25.477380371093773
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,RH,33.92911911010742
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,UGRD,1.0212621688842773
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,VGRD,5.701374530792236
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,APCP,0
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,DSWRF,448
gec00,00,2022-10-21,024,2022-10-22T00:00:00Z,rc,DLWRF,356
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,PRES,99596.7421875
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,TMP,21.709039306640648
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,RH,46.9749870300293
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,UGRD,0.8593066334724426
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,VGRD,7.092082500457764
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,APCP,0
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,027,2022-10-22T03:00:00Z,rc,DLWRF,332
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,PRES,99600.546875
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,TMP,19.553033447265648
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,RH,68.14852142333984
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,UGRD,1.2956420183181763
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,VGRD,8.457433700561523
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,APCP,0
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,030,2022-10-22T06:00:00Z,rc,DLWRF,329
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,PRES,99596.9296875
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,TMP,17.779992675781273
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,RH,78.688232421875
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,UGRD,1.1271411180496216
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,VGRD,7.638463973999023
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,APCP,0
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,DSWRF,0
gec00,00,2022-10-21,033,2022-10-22T09:00:00Z,rc,DLWRF,322.4600830078125
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,PRES,99639.015625
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,TMP,17.137841796875023
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,RH,85.46916961669922
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,UGRD,0.6948901414871216
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,VGRD,6.979997634887695
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,APCP,0
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,TCDC,0
gec00,00,2022-10-21,036,2022-10-22T12:00:00Z,rc,DSWRF,0
