air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,eastward_wind,northward_wind,wind_speed,cloud_area_fraction,hours_since_forecast_issue,forecast_issue_datetime,ensemble,forecast_datetime_UTC,wind_direction
295.3714599609375,99082.0546875,89.2721939086914,377,0,2.7777778450399637e-4,-1.988399624824524,2.182079553604126,2.5115749835968018,61,3,2022-05-25T00:00:00Z,00,2022-05-25T03:00:00Z,132.3410549422087
292.28271484375,99200.9140625,97.40666961669922,379,0,7.958333590067923e-4,-0.7884936332702637,2.300244092941284,2.4316341876983643,100,6,2022-05-25T00:00:00Z,00,2022-05-25T06:00:00Z,108.92104509129688
289.216064453125,99378.3125,101.01372528076172,379,0,7.958333590067923e-4,0.9785793423652648,2.7653114795684814,3.0042545795440674,100,9,2022-05-25T00:00:00Z,00,2022-05-25T09:00:00Z,70.51231426174441
288.6930847167969,99555.1171875,95.61945343017578,364,151.23275756835938,0,2.5367283821105957,2.535715341567993,3.586759328842163,91,12,2022-05-25T00:00:00Z,00,2022-05-25T12:00:00Z,44.98855720241427
292.2227783203125,99677.609375,79.35731506347656,364,534.40545654296875,0,3.306694746017456,0.9267365336418152,3.71490740776062,91,15,2022-05-25T00:00:00Z,00,2022-05-25T15:00:00Z,15.656095791796748
296.2516784667969,99719.0859375,63.39759063720703,370,779.169677734375,0,3.6933789253234863,-0.9621044993400574,3.816633701324463,53,18,2022-05-25T00:00:00Z,00,2022-05-25T18:00:00Z,-14.600745975247085
297.0240478515625,99682.46875,58.591102600097656,370,579.75738525390625,0,4.119506359100342,-1.8466956615448,4.269473075866699,53,21,2022-05-25T00:00:00Z,00,2022-05-25T21:00:00Z,-24.14577818230947
295.0379638671875,99662.2421875,61.47394943237305,323,108,0,4.0949387550354,-1.488796353340149,4.357182502746582,31,24,2022-05-25T00:00:00Z,00,2022-05-26T00:00:00Z,-19.979741617081956
291.75,99740.296875,66.084716796875,323,0,0,3.1880855560302734,-0.16481374204158783,3.439481258392334,31,27,2022-05-25T00:00:00Z,00,2022-05-26T03:00:00Z,-2.9593725413656498
288.1966247558594,99856.578125,70.78667449951172,309,0,0,2.1144042015075684,0.8361254930496216,2.273721933364868,39,30,2022-05-25T00:00:00Z,00,2022-05-26T06:00:00Z,21.575953032888403
285.6913146972656,99935.6953125,73.85968780517578,309,0,0,1.8103631734848025,0.5472849607467651,1.8841651678085327,39,33,2022-05-25T00:00:00Z,00,2022-05-26T09:00:00Z,16.82041993439458
287.0752868652344,99982.9609375,68.925262451171875,330,209.13455200195313,0,2.9494261741638184,0.3042089641094208,2.9650731086730957,50,36,2022-05-25T00:00:00Z,00,2022-05-26T12:00:00Z,5.88876363856928
293.91015625,100006.1640625,52.67578887939453,330,735.7264404296875,0,5.502460956573486,1.254106521606445,5.511523246765137,50,39,2022-05-25T00:00:00Z,00,2022-05-26T15:00:00Z,12.839383274146078
301.1111755371094,99942.4296875,38.745582580566406,365,960.913330078125,0,6.892953872680664,1.488564372062683,7.051853656768799,17,42,2022-05-25T00:00:00Z,00,2022-05-26T18:00:00Z,12.186142150745171
303.3655090332031,99766.9765625,40.04462432861328,365,715.67877197265625,0,4.932083606719971,-0.6367971301078796,5.535563945770264,17,45,2022-05-25T00:00:00Z,00,2022-05-26T21:00:00Z,-7.356941372191148
301.0944519042969,99678.1640625,49.64365768432617,341,108,0,1.5291723012924194,-2.65460205078125,3.063540458679199,0,48,2022-05-25T00:00:00Z,00,2022-05-27T00:00:00Z,-60.05608808150402
296.2398986816406,99839.140625,58.095455169677734,341,0,0,-0.8530923128128052,-2.0474870204925537,2.004877805709839,0,51,2022-05-25T00:00:00Z,00,2022-05-27T03:00:00Z,-112.61921450585044
291.0920104980469,100049.09375,65.72013854980469,321.4600830078125,0,0,-1.6367089748382568,-0.2098950147628784,1.6501127481460571,0,54,2022-05-25T00:00:00Z,00,2022-05-27T06:00:00Z,-172.69215575814133
288.0306396484375,100096.8359375,72.86747741699219,321.4600830078125,0,0,-0.9223620891571044,0.8459920287132263,0.9601519107818604,0,57,2022-05-25T00:00:00Z,00,2022-05-27T09:00:00Z,137.47290106860999
289.4460144042969,100093.703125,70.2385025024414,345,214.0119171142578,0,0.35920652747154236,0.5488427877426147,0.6559403538703918,0,60,2022-05-25T00:00:00Z,00,2022-05-27T12:00:00Z,56.796062539493334
296.1783752441406,100167.2421875,51.971946716308594,345,749.7718505859375,0,1.156161189079285,-1.0053235292434692,1.4931020736694336,0,63,2022-05-25T00:00:00Z,00,2022-05-27T15:00:00Z,-41.00812668869081
