ensemble,forecast_datetime_UTC,air_pressure,TSOIL,SOILW,WEASD,SNOD,ICETK,air_temperature,relative_humidity,TMAX,TMIN,eastward_wind,northward_wind,precipitation_flux,CSNOW,CICEP,CFRZR,CRAIN,LHTFL,SHTFL,PWAT,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,USWRF,ULWRF,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
10,2022-06-24T12:00:00Z,99801.546875,302.6325378417969,0.08400000631809235,0,0,0,22.734704589843773,82.31975555419922,28.086816406250023,22.354089355468773,0.8796240091323853,2.590812921524048,0,0,0,0,0,1.913507103919983,-38.74673080444336,28.100000381469727,0,2,368,0,434,156,2022-06-18T00:00:00Z,2.7360646907151343,71.24679694262375
10,2022-06-24T15:00:00Z,99908.265625,302.6325378417969,0.0820000022649765,0,0,0,31.647790527343773,41.32929611206055,31.650018310546898,23.240045166015648,-0.15642090141773224,3.0202319622039795,0,0,0,0,0,67.00239562988281,106.51397705078124,30.5,0,350,381,63,471,159,2022-06-18T00:00:00Z,3.024279848810099,92.96475809747808
10,2022-06-24T18:00:00Z,99754.2421875,303.76507568359375,0.07900000363588333,0,0,0,38.6667419433594,23.651060104370117,38.6500183105469,23.266717529296898,-2.960153818130493,5.314599514007568,0,0,0,0,0,116.1832275390625,245.645751953125,33.70000076293945,0,604,402,87,512.15667724609375,162,2022-06-18T00:00:00Z,6.083377238120452,119.11716417634352
10,2022-06-24T21:00:00Z,99511.765625,304.6650695800781,0.07700000703334808,0,0,0,38.08132324218752,23.14960289001465,40.16567382812502,37.9813171386719,-3.994985342025757,5.07339334487915,0,0,0,0,0,115.90613555908205,263.13580322265625,35.79999923706055,75,570,467,76,561,165,2022-06-18T00:00:00Z,6.457493934558879,128.21825775561422
10,2022-06-25T00:00:00Z,99468.6875,305.26507568359375,0.07600000500679016,0,0,0,37.68132934570315,23.629180908203125,40.16567382812502,37.28133544921877,-4.422573089599609,4.194201469421387,0,0,0,0,0,96.28675842285156,173.55149841308594,32.900001525878906,67,441,461,64,549.15667724609375,168,2022-06-18T00:00:00Z,6.0951192522334745,136.51816292205135
10,2022-06-25T03:00:00Z,99619.3515625,305.0600280761719,0.07600000500679016,0,0,0,31.081323242187523,34.011348724365234,37.46566162109377,31.139825439453148,-2.4253880977630615,3.200754404067993,0,0,0,0,0,15.35393524169922,-42.01713943481445,33,13,51,415,12,494.15667724609375,171,2022-06-18T00:00:00Z,4.015885478936292,127.15321618730533
10,2022-06-25T06:00:00Z,99761.71875,304.53253173828125,0.07600000500679016,0,0,0,28.047814941406273,36.527774810791016,37.46566162109377,28.008447265625023,0.35594481229782104,5.188234806060791,0,0,0,0,0,9.41623592376709,-49.70009994506836,29.5,7,26,404,6,479.8307495117187,174,2022-06-18T00:00:00Z,5.200430473741802,86.07530706672472
10,2022-06-25T09:00:00Z,99818.640625,303.7325134277344,0.07600000500679016,0,0,0,24.047814941406273,68.52449798583984,27.847802734375023,24.047814941406273,1.0727832317352295,3.9234814643859863,0,0,0,0,0,2.05694580078125,-41.606483459472656,30.899999618530273,0,0,379,0,444,177,2022-06-18T00:00:00Z,4.067501771809409,74.70760650865245
10,2022-06-25T12:00:00Z,99961.6484375,302.7325134277344,0.07600000500679016,0,0,0,21.947778320312523,91.398895263671875,27.847802734375023,21.647790527343773,0.3887890577316284,3.4064695835113525,0,0,0,0,0,1.349389672279358,-34.53890609741211,28.700000762939453,0,2,373,0,435,180,2022-06-18T00:00:00Z,3.428584541002286,83.48886096064949
10,2022-06-25T15:00:00Z,100052.546875,302.5650634765625,0.07500000298023224,0,0,0,29.947808837890648,51.788429260253906,29.947778320312523,22.2477966308594,1.7333714962005615,3.9192380905151367,0,0,0,0,0,50.00096130371094,129.1007537841797,29.700000762939453,0,350,379,62,463.97802734375,183,2022-06-18T00:00:00Z,4.28544092877096,66.141507997772365
10,2022-06-25T18:00:00Z,99869.4765625,303.5650634765625,0.07300000637769699,0,0,0,37.1456237792969,25.405776977539063,37.14779052734377,22.2477966308594,-1.2149877548217771,4.550148963928223,0,0,0,0,0,96.01561737060548,269.9115905761719,31.100000381469727,0,603,397,87,504,186,2022-06-18T00:00:00Z,4.70957013306989,104.95039801498389
10,2022-06-25T21:00:00Z,99454.8203125,304.9325256347656,0.07100000232458115,0,0,0,41.1126647949219,16.485675811767578,41.1126647949219,37.41268310546877,-2.553220272064209,4.403664588928223,0,0,0,0,0,143.11514282226565,470.8390808105469,32.29999923706055,0,940,437,119,591.15667724609375,189,2022-06-18T00:00:00Z,5.090304074361374,120.10491961485826
10,2022-06-26T00:00:00Z,99408.8203125,305.4325256347656,0.07000000029802322,0,0,0,37.59700927734377,21.64915657043457,41.2126403808594,37.09700927734377,-3.247331380844116,3.383552074432373,0,0,0,0,0,95.18221282958984,275.7774658203125,35.10000228881836,48,591,453,77,570.15667724609375,192,2022-06-18T00:00:00Z,4.689731947287666,133.8231171318029
10,2022-06-26T03:00:00Z,99605.4140625,305.26507568359375,0.07000000029802322,0,0,0,33.08135375976565,30.49567222595215,37.28133544921877,33.08135375976565,-2.951003313064575,3.699836254119873,0,0,0,0,0,7.367706298828125,-38.38134765625,37.20000076293945,78,15,454,3,503,195,2022-06-18T00:00:00Z,4.732568949420375,128.57599427368382
10,2022-06-26T06:00:00Z,99725.1328125,304.8650817871094,0.07000000029802322,0,0,0,28.561334228515648,40.37477493286133,37.33254394531252,28.568811035156273,0.6170409917831421,5.411789417266846,0,0,0,0,0,5.35040283203125,-46.1712646484375,31.30000114440918,43,7,428,2,487,198,2022-06-18T00:00:00Z,5.446852695124235,83.49534416899044
10,2022-06-26T09:00:00Z,99777.0546875,304.0650634765625,0.07000000029802322,0,0,0,23.650018310546898,69.13641357421875,28.3613220214844,23.6926208496094,1.689628839492798,4.056655406951904,0,0,0,0,0,2.091705322265625,-46.0598258972168,26.5,0,0,374,0,445.5608520507813,201,2022-06-18T00:00:00Z,4.394462277230048,67.38788871662383
10,2022-06-26T12:00:00Z,99837.578125,303.0650634765625,0.07000000029802322,0,0,0,21.779168701171898,85.92911529541016,28.3791442871094,21.292626953125023,2.0425195693969727,2.200752019882202,0,0,0,0,0,0.746124267578125,-37.49201583862305,28,0,2,367,0,433,204,2022-06-18T00:00:00Z,3.0025315392823417,47.135581617464
10,2022-06-26T15:00:00Z,99924.9453125,302.9325256347656,0.0690000057220459,0,0,0,32.0374694824219,39.160030364990234,31.979150390625023,22.237451171875023,1.6533629894256592,3.087092161178589,0,0,0,0,0,49.608184814453125,122.01263427734376,30.5,0,350,383,62,469.6382141113281,207,2022-06-18T00:00:00Z,3.501963333105137,61.82770337134833
10,2022-06-26T18:00:00Z,99785.5390625,304.0650634765625,0.06800000369548798,0,0,0,38.0318542480469,24.78049659729004,38.07915649414065,22.220849609375023,-0.8955004811286926,4.805832386016846,0,0,0,0,0,86.455291748046875,273.3230285644531,31.700000762939453,0,602,403,87,513.38543701171875,210,2022-06-18T00:00:00Z,4.888552550008038,100.5552247932558
10,2022-06-26T21:00:00Z,99550.890625,305.26507568359375,0.06599999964237213,0,0,0,40.1053405761719,19.512065887451172,40.1208435058594,38.2053161621094,-2.8165478706359863,5.321891784667969,0,0,0,0,0,120.21607971191406,506.0107116699219,32.400001525878906,0,940,440,118,589.70855712890625,213,2022-06-18T00:00:00Z,6.021251869445466,117.88949829941222
10,2022-06-27T00:00:00Z,99413.4140625,305.8650817871094,0.0650000050663948,0,0,0,38.20427856445315,22.642690658569336,40.1208435058594,38.09172973632815,-4.37933349609375,5.237119197845459,0,0,0,0,0,98.210662841796875,372.4185485839844,35.70000076293945,0,737,438,101,577.70855712890625,216,2022-06-18T00:00:00Z,6.82685720975986,129.9027181145744
10,2022-06-27T03:00:00Z,99571.6484375,305.7785339355469,0.0650000050663948,0,0,0,31.1909118652344,37.62209701538086,37.97515258789065,31.233514404296898,-3.8637523651123047,2.5552783012390137,0,0,0,0,0,12.181854248046877,-37.02716064453125,35,0,51,418,12,499.70458984375,219,2022-06-18T00:00:00Z,4.632281245314653,146.52149061903475
10,2022-06-27T06:00:00Z,99677.6171875,305.26507568359375,0.0650000050663948,0,0,0,28.191705322265648,48.61417388916016,37.96257934570315,28.245446777343773,-0.6560986042022705,4.443229675292969,0,0,0,0,0,7.0020751953125,-41.92841720581055,34.29999923706055,0,26,410,6,482.2784423828125,222,2022-06-18T00:00:00Z,4.4914090579505475,98.399741666485
