ensemble,forecast_datetime_UTC,air_pressure,air_temperature,relative_humidity,eastward_wind,northward_wind,precipitation_flux,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
1,2022-09-28T03:00:00Z,100489.453125,21.2499938964844,33.93760299682617,-2.595768928527832,1.0583081245422363,0,0,0,339.4830322265625,3,2022-09-28T00:00:00Z,2.8032182249661965,157.8190292246236
1,2022-09-28T06:00:00Z,100556.609375,19.278680419921898,37.50924301147461,-2.5912768840789795,1.88741934299469,0,0,0,336,6,2022-09-28T00:00:00Z,3.205786590881023,143.93136938761828
1,2022-09-28T09:00:00Z,100555.90625,17.758813476562523,41.15354537963867,-1.8301538228988647,2.0690600872039795,0,0,0,328,9,2022-09-28T00:00:00Z,2.7623310192538235,131.49384965221424
1,2022-09-28T12:00:00Z,100707.90625,16.749993896484398,43.80991744995117,-0.881884753704071,2.7533934116363525,0,0,0,325,12,2022-09-28T00:00:00Z,2.8911755391290517,107.75974985378103
1,2022-09-28T15:00:00Z,100896.3046875,24.364404296875023,28.41523551940918,-0.7651806473731995,3.4310178756713867,0,0,210,326,15,2022-09-28T00:00:00Z,3.5153072534689005,102.57227972451572
1,2022-09-28T18:00:00Z,100816.046875,30.2741638183594,18.15284538269043,-0.4094482362270355,3.3657054901123047,0,0,465,340.2703857421875,18,2022-09-28T00:00:00Z,3.3905193266403213,96.93612164859458
1,2022-09-28T21:00:00Z,100547.78125,32.18013916015627,17.23517417907715,-0.8857641220092773,2.165034055709839,0,0,780,373,21,2022-09-28T00:00:00Z,2.339220071353326,112.25057364383395
1,2022-09-29T00:00:00Z,100484.2734375,27.745690917968773,23.952377319335938,-1.7938402891159058,1.2399194240570068,0,0,542,372,24,2022-09-28T00:00:00Z,2.1806565894265186,145.34740400550578
1,2022-09-29T03:00:00Z,100668.9140625,22.142022705078148,33.736637115478516,-2.5641894340515137,1.520485758781433,0,0,0,344.86431884765625,27,2022-09-28T00:00:00Z,2.9810978508526977,149.33335812270872
1,2022-09-29T06:00:00Z,100721.5625,19.640313720703148,41.04444122314453,-2.5786328315734863,2.245851993560791,0,0,0,340,30,2022-09-28T00:00:00Z,3.419531906131258,138.94586878335502
1,2022-09-29T09:00:00Z,100707.140625,17.187829589843773,49.79999923706055,-2.0219359397888184,2.209550619125366,0,0,0,327,33,2022-09-28T00:00:00Z,2.995052400724732,132.46129557453267
1,2022-09-29T12:00:00Z,100835.8828125,15.150018310546898,56.03249740600586,-2.466374397277832,0.6787133812904358,0,0,0,322.5399169921875,36,2022-09-28T00:00:00Z,2.558056786212981,164.6138052778386
1,2022-09-29T15:00:00Z,100905.8671875,21.593103027343773,32.388404846191406,-4.630148887634277,1.57513427734375,0,0,200,319,39,2022-09-28T00:00:00Z,4.890738871921517,161.21216563028483
1,2022-09-29T18:00:00Z,100689.515625,27.3688903808594,21.970314025878903,-3.4580516815185547,1.680280685424805,0,0,462,331,42,2022-09-28T00:00:00Z,3.844667035500598,154.08470386644746
1,2022-09-29T21:00:00Z,100322.7734375,30.210107421875023,20.179349899291992,-3.169142961502075,-0.2018994092941284,0,0,770,363,45,2022-09-28T00:00:00Z,3.1755677416662773,-176.35473316482185
1,2022-09-30T00:00:00Z,100238.96875,25.958154296875023,27.684350967407227,-4.0792236328125,-0.9088427424430848,0,0,538,362,48,2022-09-28T00:00:00Z,4.179241627016495,-167.43976060953707
1,2022-09-30T03:00:00Z,100341.0234375,20.150018310546898,41.010231018066406,-4.880266189575195,-0.3233691453933716,0,0,0,337,51,2022-09-28T00:00:00Z,4.890967765719095,-176.20909132572498
1,2022-09-30T06:00:00Z,100366.421875,16.850000000000023,43.33958053588867,-3.885493040084839,0.9244213700294496,0,0,0,331,54,2022-09-28T00:00:00Z,3.99394679908419,166.61721558882098
1,2022-09-30T09:00:00Z,100316.3203125,14.503717041015648,45.28629302978515,-2.6174559593200684,1.120292901992798,0,0,0,311,57,2022-09-28T00:00:00Z,2.847126952778113,156.82867282205865
1,2022-09-30T12:00:00Z,100360.9140625,12.749993896484398,48.90355682373047,-1.61685049533844,0.5560376048088074,0,0,0,307,60,2022-09-28T00:00:00Z,1.7097904381056979,161.02182022801176
1,2022-09-30T15:00:00Z,100367,20.350000000000023,31.17704200744629,-2.8791136741638184,0.601794421672821,0,0,210,306,63,2022-09-28T00:00:00Z,2.9413350837185495,168.1939700199579
1,2022-09-30T18:00:00Z,100174.8203125,26.717492675781273,20.609540939331055,-2.6890673637390137,-0.6632104516029358,0,0,467,320,66,2022-09-28T00:00:00Z,2.7696446324107464,-166.1455130218671
1,2022-09-30T21:00:00Z,99845.3125,29.809655761718773,19.541173934936523,-3.3280224800109863,-2.5754661560058594,0,0,780,352,69,2022-09-28T00:00:00Z,4.208177699217331,-142.26468596469493
1,2022-10-01T00:00:00Z,99778.1796875,24.539025878906273,25.594053268432617,-3.3278684616088867,-2.0413599014282227,0,0,544,347,72,2022-09-28T00:00:00Z,3.9040823178988093,-148.47447944865837
1,2022-10-01T03:00:00Z,99923.0390625,17.785760498046898,39.11538314819336,-3.4972081184387207,-1.5082592964172363,0,0,0,310,75,2022-09-28T00:00:00Z,3.808583821960955,-156.67065921558594
1,2022-10-01T06:00:00Z,99935.8125,14.957879638671898,45.927608489990234,-2.171889543533325,0.8684960603713989,0,0,0,304,78,2022-09-28T00:00:00Z,2.339100168053954,158.2044981281566
1,2022-10-01T09:00:00Z,99899.515625,13.357873535156273,54.76747512817383,-1.608679175376892,0.9901440143585204,0,0,0,294,81,2022-09-28T00:00:00Z,1.888976934338078,148.3876516658039
1,2022-10-01T12:00:00Z,100028.359375,11.828668212890648,62.98065185546875,-0.6132104396820068,0.7495166063308716,0,0,0,292,84,2022-09-28T00:00:00Z,0.9684018724169976,129.28801388584057
1,2022-10-01T15:00:00Z,100144.5703125,20.911584472656273,37.43186950683594,-0.9033983945846558,0.207977294921875,0,0,210,297,87,2022-09-28T00:00:00Z,0.9270292414703831,167.0354500157629
1,2022-10-01T18:00:00Z,99978.2890625,27.019586181640648,22.00090217590332,-2.213940382003784,-1.5247204303741455,0,0,471,317,90,2022-09-28T00:00:00Z,2.688178640988612,-145.44517199111618
1,2022-10-01T21:00:00Z,99754.1328125,29.855584716796898,16.9293155670166,-2.785400390625,-1.952307105064392,0,0,780,348,93,2022-09-28T00:00:00Z,3.401464150711986,-144.97311076624055
1,2022-10-02T00:00:00Z,99709.703125,24.813500976562523,24.346330642700195,-3.0977392196655273,-1.3120763301849363,0,0,543,345,96,2022-09-28T00:00:00Z,3.364154064439612,-157.04446029419051
1,2022-10-02T03:00:00Z,99934.25,18.7499938964844,37.2885856628418,-3.1946020126342773,-0.9029394388198853,0,0,0,317,99,2022-09-28T00:00:00Z,3.3197562635385363,-164.2173013185378
1,2022-10-02T06:00:00Z,99977.203125,16.410089111328148,42.60178756713867,-2.080085515975952,0.74104243516922,0,0,0,313,102,2022-09-28T00:00:00Z,2.2081439365436464,160.39126614602253
1,2022-10-02T09:00:00Z,99944.703125,14.550012207031273,45.94001388549805,-1.9339135885238647,-0.12511596083641052,0,0,0,301,105,2022-09-28T00:00:00Z,1.937956596916781,-176.29836612947753
1,2022-10-02T12:00:00Z,100133.03125,12.450006103515648,51.843746185302734,-1.123360514640808,-0.06831176578998566,0,0,0,297.4603271484375,108,2022-09-28T00:00:00Z,1.1254356237472702,-176.52011796215467
