air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,eastward_wind,northward_wind,wind_speed,cloud_area_fraction,hours_since_forecast_issue,forecast_issue_datetime,ensemble,forecast_datetime_UTC,wind_direction
297.2078552246094,100247.7890625,70.307647705078125,386,0,1.851851811807137e-5,-2.666421890258789,1.707085132598877,3.165604591369629,28,3,2022-07-15T00:00:00Z,00,2022-07-15T03:00:00Z,147.37199063638414
294.660888671875,100377.0390625,82.173553466796875,374,0,0,-1.45480215549469,1.000161051750183,1.7654380798339844,0,6,2022-07-15T00:00:00Z,00,2022-07-15T06:00:00Z,145.4918896697701
292.6410827636719,100436.9765625,93.40129089355467,374,0,0,-1.1190359592437744,0.862023115158081,1.4111714363098145,0,9,2022-07-15T00:00:00Z,00,2022-07-15T09:00:00Z,142.39198470229425
294.22613525390625,100456.421875,89.92546081542969,402,179.37911987304688,0,-1.4505224227905271,0.9192626476287842,1.7172824144363403,0,12,2022-07-15T00:00:00Z,00,2022-07-15T12:00:00Z,147.63568825312706
301.0870056152344,100451.1953125,63.804073333740234,402,698.5262451171875,0,-2.2374367713928223,0.9774899482727052,2.400284767150879,0,15,2022-07-15T00:00:00Z,00,2022-07-15T15:00:00Z,156.40047612042514
307.86090087890625,100372.2421875,37.712276458740234,444,906.8027954101564,0,-3.251835823059082,1.737409591674805,3.6868724822998047,15,18,2022-07-15T00:00:00Z,00,2022-07-15T18:00:00Z,151.8850443102154
309.18121337890625,100196.0078125,34.1825065612793,444,694.51910400390625,0,-4.155217170715332,3.654019355773926,5.589724063873291,15,21,2022-07-15T00:00:00Z,00,2022-07-15T21:00:00Z,138.67221404119962
306.7000427246094,100065.9765625,44.55921173095703,408,132,0,-4.182959079742432,5.304394245147705,6.755275249481201,0,24,2022-07-15T00:00:00Z,00,2022-07-16T00:00:00Z,128.25873781919935
303.26873779296875,100107.703125,55.63125991821289,408,0,0,-2.833970069885254,5.30527400970459,6.032284259796143,0,27,2022-07-15T00:00:00Z,00,2022-07-16T03:00:00Z,118.11023120292138
299.5171203613281,100208.125,67.15312957763672,390,0,0,-1.08740234375,4.309978008270264,4.445036888122559,0,30,2022-07-15T00:00:00Z,00,2022-07-16T06:00:00Z,104.16014086303535
296.1689453125,100236.6953125,78.91972351074219,390,0,0,-0.03731797635555267,3.3542158603668213,3.314969778060913,0,33,2022-07-15T00:00:00Z,00,2022-07-16T09:00:00Z,90.63742896085601
296.54522705078125,100231.6796875,77.92200469970703,414,175.61819458007813,0,0.2428271472454071,2.966679573059082,2.9766008853912354,2,36,2022-07-15T00:00:00Z,00,2022-07-16T12:00:00Z,85.32068634478931
302.8222351074219,100237.109375,55.02169418334961,414,689.2899169921875,0,-0.00954745151102542,3.38970947265625,3.4195096492767334,2,39,2022-07-15T00:00:00Z,00,2022-07-16T15:00:00Z,90.16137879500863
310,100151.3359375,29.36753845214844,444.4051513671875,926.44012451171875,0,-0.33412596583366394,4.227258205413818,4.240442276000977,20,42,2022-07-15T00:00:00Z,00,2022-07-16T18:00:00Z,94.51930978173286
312.6951904296875,99905.9453125,21.122398376464844,444.4051513671875,709.4188232421875,0,-0.33271485567092896,4.9579176902771,4.961348056793213,20,45,2022-07-15T00:00:00Z,00,2022-07-16T21:00:00Z,93.8392362663864
311.1673278808594,99711.109375,26.218616485595703,419.1442260742187,138,0,-0.07850585877895355,5.197226524353027,5.197819232940674,34,48,2022-07-15T00:00:00Z,00,2022-07-17T00:00:00Z,90.86540624927561
307.0606689453125,99760.4921875,36.36081314086914,419.1442260742187,0,0,0.24833016097545624,4.743285655975342,4.744690895080566,34,51,2022-07-15T00:00:00Z,00,2022-07-17T03:00:00Z,87.00307068124238
301.9154968261719,99903.0234375,50.573238372802734,398,0,0,0.5110912919044495,3.987502336502075,4.02012300491333,0,54,2022-07-15T00:00:00Z,00,2022-07-17T06:00:00Z,82.69603519052063
297.6510009765625,99957.0078125,66.56111907958984,398,0,0,0.6770089268684387,3.4056620597839355,3.516021251678467,0,57,2022-07-15T00:00:00Z,00,2022-07-17T09:00:00Z,78.75678707580703
297.8057556152344,99962.828125,69.4339828491211,414,174.89712524414065,0,1.0855785608291626,3.217763662338257,3.39595103263855,15,60,2022-07-15T00:00:00Z,00,2022-07-17T12:00:00Z,71.35712217103686
304.3697204589844,99980.96875,48.821144104003906,414,692.047119140625,0,1.806394338607788,3.5500071048736572,3.7426304817199703,15,63,2022-07-15T00:00:00Z,00,2022-07-17T15:00:00Z,63.03107564220032
311.5192565917969,99930.140625,25.026830673217773,452,878.8192749023436,0,1.457180142402649,4.409182071685791,4.643733501434326,65,66,2022-07-15T00:00:00Z,00,2022-07-17T18:00:00Z,71.71191824061098
313.280517578125,99751.75,19.34760475158691,452,672.79132080078125,0,-0.8344849348068237,5.702335834503174,6.063822269439697,65,69,2022-07-15T00:00:00Z,00,2022-07-17T21:00:00Z,98.3256184966108
310.892333984375,99619.859375,26.37445068359375,418,132,0,-2.4497313499450684,7.056955337524414,7.470060348510742,0,72,2022-07-15T00:00:00Z,00,2022-07-18T00:00:00Z,109.14378739728423
306.93072509765625,99697.0078125,36.73914337158203,418,0,0,-1.0434051752090454,7.931112766265869,8.187829971313477,0,75,2022-07-15T00:00:00Z,00,2022-07-18T03:00:00Z,97.49470514853434
302.1078796386719,99867.1171875,51.942195892333984,395,0,4.6296295295178425e-6,1.14349365234375,7.384777545928955,7.472784996032715,15,78,2022-07-15T00:00:00Z,00,2022-07-18T06:00:00Z,81.19795657873186
297.4495544433594,99980.109375,71.6573715209961,395,0,4.6296295295178425e-6,1.6190133094787598,5.029525279998779,5.152964115142822,15,81,2022-07-15T00:00:00Z,00,2022-07-18T09:00:00Z,72.15653876434745
297.1000061035156,100028.5703125,77.38268280029297,424,153.38702392578125,0,1.473547339439392,3.0814599990844727,3.4156606197357178,55,84,2022-07-15T00:00:00Z,00,2022-07-18T12:00:00Z,64.4429766317383
303.8350524902344,100025.1796875,55.167030334472656,424,612.0142822265625,0,2.124363422393799,3.54260778427124,4.144452095031738,55,87,2022-07-15T00:00:00Z,00,2022-07-18T15:00:00Z,59.050531037395
311.8382263183594,99920.2421875,27.438568115234375,459,915.35791015625,0,2.713881731033325,4.954157829284668,5.6487908363342285,13,90,2022-07-15T00:00:00Z,00,2022-07-18T18:00:00Z,61.28612486481001
314.8269348144531,99696.2109375,18.46758460998535,459,700.564697265625,0,2.2170250415802,5.565577030181885,6.019046783447266,13,93,2022-07-15T00:00:00Z,00,2022-07-18T21:00:00Z,68.28033567783008
313.2464904785156,99526.5703125,23.513652801513672,428.4830322265625,132,0,1.2135741710662842,5.920278072357178,6.043381214141846,0,96,2022-07-15T00:00:00Z,00,2022-07-19T00:00:00Z,78.41564310218153
309.0757751464844,99570.46875,33.30304718017578,428.4830322265625,0,0,0.5484310984611511,6.736415863037109,6.715841293334961,0,99,2022-07-15T00:00:00Z,00,2022-07-19T03:00:00Z,85.34564986915558
303.70001220703125,99738.7265625,49.439579010009766,399,0,0,0.5221215486526489,7.137160301208496,7.156232833862305,0,102,2022-07-15T00:00:00Z,00,2022-07-19T06:00:00Z,85.8159597802556
298.8486328125,99901.71875,71.36579132080078,399,0,0,1.181687355041504,6.32483434677124,6.498586654663086,0,105,2022-07-15T00:00:00Z,00,2022-07-19T09:00:00Z,79.41727123343487
298.2217712402344,100016.328125,79.00162506103516,420.4830322265625,152.16197204589844,0,2.104609251022339,5.413352012634277,5.808077335357666,18,108,2022-07-15T00:00:00Z,00,2022-07-19T12:00:00Z,68.7548564658555
304.15093994140625,100055.859375,56.9022102355957,420.4830322265625,612.3487548828125,0,2.7896578311920166,5.5086493492126465,6.124659538269043,18,111,2022-07-15T00:00:00Z,00,2022-07-19T15:00:00Z,63.141701999409655
311.5225524902344,99972.8671875,27.68605613708496,454,924.757568359375,0,2.890322208404541,5.773156642913818,6.456260681152344,7,114,2022-07-15T00:00:00Z,00,2022-07-19T18:00:00Z,63.40523152460497
314.7250061035156,99760.1640625,16.616474151611328,454,707.5262451171875,0,2.3280892372131348,5.416399955749512,5.919431209564209,7,117,2022-07-15T00:00:00Z,00,2022-07-19T21:00:00Z,66.74089064612089
313.6000061035156,99592.4140625,21.47258949279785,421,132,0,1.9417163133621216,5.779792308807373,6.097233772277832,0,120,2022-07-15T00:00:00Z,00,2022-07-20T00:00:00Z,71.43026946530836
309.41656494140625,99626.09375,34.349239349365234,421,0,0,2.393831253051758,7.81465482711792,8.164081573486328,0,123,2022-07-15T00:00:00Z,00,2022-07-20T03:00:00Z,72.96881635588532
303.6999816894531,99763.1171875,52.08829498291016,394,0,0,2.725273370742798,8.780051231384277,9.193281173706056,0,126,2022-07-15T00:00:00Z,00,2022-07-20T06:00:00Z,72.7559817967634
298.5489501953125,99872.359375,70.102264404296875,394,0,0,2.087139129638672,6.312087059020996,6.649289608001709,0,129,2022-07-15T00:00:00Z,00,2022-07-20T09:00:00Z,71.70314266478523
298.1000061035156,99944.9921875,73.33917236328125,424,155.0565643310547,0,1.6933447122573853,3.2472875118255615,3.6622796058654785,43,132,2022-07-15T00:00:00Z,00,2022-07-20T12:00:00Z,62.459564363408866
304.9048156738281,99979.7421875,51.63077545166016,424,629.51031494140625,0,2.589597702026367,2.7161526679992676,3.5749504566192627,43,135,2022-07-15T00:00:00Z,00,2022-07-20T15:00:00Z,46.366383688513956
313.1379089355469,99883.2265625,24.80818748474121,468.4830322265625,824.0653076171875,0,3.085954427719116,3.8246679306030273,4.914387226104736,75,138,2022-07-15T00:00:00Z,00,2022-07-20T18:00:00Z,51.10148390864246
316.4658203125,99610.6953125,14.351579666137695,468.4830322265625,630.2518310546875,0,1.6641221046447754,5.042731285095215,5.648550987243652,75,141,2022-07-15T00:00:00Z,00,2022-07-20T21:00:00Z,71.73689713547732
314.8999938964844,99404.03125,18.337961196899418,431,114,0,0.22806395590305328,6.320407390594482,6.324520587921143,64,144,2022-07-15T00:00:00Z,00,2022-07-21T00:00:00Z,87.93345041384404
310.12835693359375,99481.7109375,30.17631721496582,431,0,0,0.7460881471633911,7.674874782562256,7.621215343475342,64,147,2022-07-15T00:00:00Z,00,2022-07-21T03:00:00Z,84.44762233895405
304.1999816894531,99681.8671875,48.00669479370117,412,0,0,2.0216283798217773,7.911596298217773,8.165802955627441,58,150,2022-07-15T00:00:00Z,00,2022-07-21T06:00:00Z,75.66608740048575
299.48797607421875,99804.015625,67.95899200439453,412,0,0,2.526646137237549,6.182963848114014,6.7605462074279785,58,153,2022-07-15T00:00:00Z,00,2022-07-21T09:00:00Z,67.77279525816714
