ensemble,forecast_datetime_UTC,air_pressure,air_temperature,relative_humidity,eastward_wind,northward_wind,precipitation_flux,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
19,2022-11-30T12:00:00Z,100724.4296875,6.203363037109398,58.96124267578125,-2.1502368450164795,-6.708847522735596,0,0,0,268,36,2022-11-29T00:00:00Z,7.045009125117012,-107.77105133011356
19,2022-11-30T15:00:00Z,101109.8125,6.458703613281273,58.38850021362305,-3.349050283432007,-6.332167625427246,0,0,80,252,39,2022-11-29T00:00:00Z,7.16327331863478,-117.87412880311255
19,2022-11-30T18:00:00Z,101180.4765625,10.528070068359398,49.54816436767578,-3.6823997497558594,-5.254440784454346,0,0,290,256.190673828125,42,2022-11-29T00:00:00Z,6.4163241715439545,-125.02341241954883
19,2022-11-30T21:00:00Z,101018.328125,12.637567138671898,45.2606201171875,-4.341120719909668,-5.692985534667969,0,1,540,273,45,2022-11-29T00:00:00Z,7.159288610104203,-127.32691579113947
19,2022-12-01T00:00:00Z,101042.9609375,9.272149658203148,52.54960250854492,-3.39691162109375,-3.5001585483551025,0,18,330,275,48,2022-11-29T00:00:00Z,4.8775114992324795,-134.14236462516507
19,2022-12-01T03:00:00Z,101131,7.244866943359398,56.51313018798828,-3.530100107192993,-2.7082324028015137,0,1,0,265,51,2022-11-29T00:00:00Z,4.449284157523325,-142.5051968904705
19,2022-12-01T06:00:00Z,101192.3203125,5.902062988281273,60.171295166015625,-2.678107738494873,-1.6507189273834229,0,6,0,263,54,2022-11-29T00:00:00Z,3.145971080001849,-148.3513534721324
19,2022-12-01T09:00:00Z,101138.6796875,4.796960449218773,63.87736129760742,-2.4281909465789795,-1.7405956983566284,0,14,0,261.04998779296875,57,2022-11-29T00:00:00Z,2.9876051710669063,-144.3659792767431
19,2022-12-01T12:00:00Z,101160.1796875,4.119927978515648,67.01324462890625,-3.65865707397461,-1.91522216796875,0,8,0,263,60,2022-11-29T00:00:00Z,4.1296304359619604,-152.3689850287516
19,2022-12-01T15:00:00Z,101214.2734375,5.718194580078148,63.12904739379883,-5.71697473526001,0.9441503882408142,0,45,30,302.505615234375,63,2022-11-29T00:00:00Z,5.7944128329983995,170.62232646170068
