air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,eastward_wind,northward_wind,wind_speed,cloud_area_fraction,hours_since_forecast_issue,forecast_issue_datetime,ensemble,forecast_datetime_UTC,wind_direction
294.7007141113281,100224.8359375,70.332611083984375,371,0,0,0.06627873331308365,2.203526735305786,2.166952610015869,0,81,2022-09-18T00:00:00Z,07,2022-09-21T09:00:00Z,88.27714951901999
294.9411926269531,100265.9609375,74.32592010498047,395,39.94389343261719,0,0.8300073146820068,1.6040234565734863,1.8060463666915896,0,84,2022-09-18T00:00:00Z,07,2022-09-21T12:00:00Z,62.640543364975706
301.1006774902344,100295.859375,58.484249114990234,395,600.18731689453125,0,1.3643674850463867,1.0373626947402954,1.2603349685668943,0,87,2022-09-18T00:00:00Z,07,2022-09-21T15:00:00Z,37.246635232571556
307.2190856933594,100248.1875,39.82021713256836,423,808.54022216796875,0,0.95973140001297,0.32387450337409973,1.012906193733215,0,90,2022-09-18T00:00:00Z,07,2022-09-21T18:00:00Z,18.647671262293716
307.36199951171875,100085.5625,36.50084686279297,423,539.6566162109375,0,-0.712266743183136,-0.6409502029418945,1.4328759908676147,0,93,2022-09-18T00:00:00Z,07,2022-09-21T21:00:00Z,-138.01678164778937
304.00238037109375,99959.4765625,43.13077926635742,386,0,0,-2.0544824600219727,-0.68243408203125,2.1648590564727783,0,96,2022-09-18T00:00:00Z,07,2022-09-22T00:00:00Z,-161.62514508982142
300.7681884765625,100005.921875,50.65142059326172,386,0,0,-1.6261030435562134,1.0480445623397827,2.7283012866973877,0,99,2022-09-18T00:00:00Z,07,2022-09-22T03:00:00Z,147.19769320272547
297.5,100109.9296875,58.9135856628418,366,0,0,-0.5371533036231995,2.8156981468200684,2.8664767742156982,0,102,2022-09-18T00:00:00Z,07,2022-09-22T06:00:00Z,100.80059208331244
294.0282897949219,100135.8984375,67.77825927734375,366,0,0,-0.0584675520658493,2.8955399990081787,2.524421215057373,0,105,2022-09-18T00:00:00Z,07,2022-09-22T09:00:00Z,91.15677517683157
293.93017578125,100116.6015625,68.23772430419922,381,38.14923858642578,0,0.4467187523841858,2.185197591781616,2.230391502380371,0,108,2022-09-18T00:00:00Z,07,2022-09-22T12:00:00Z,78.44624873894574
299.70257568359375,100097.703125,53.95409393310547,381,604.696044921875,0,1.5867408514022827,1.8238109350204468,2.3905062675476074,0,111,2022-09-18T00:00:00Z,07,2022-09-22T15:00:00Z,48.976277906445034
