ensemble,forecast_datetime_UTC,air_pressure,air_temperature,relative_humidity,eastward_wind,northward_wind,precipitation_flux,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
1,2022-12-15T03:00:00Z,99856.2265625,7.890039062500023,48.93495178222656,1.8304150104522705,-2.4962964057922363,0,0,0,251,3,2022-12-15T00:00:00Z,3.0954668236083913,-53.749182638780084
1,2022-12-15T06:00:00Z,99994.6015625,6.834069824218773,50.4637336730957,1.9015014171600344,-2.2935521602630615,0,0,0,249,6,2022-12-15T00:00:00Z,2.9792766154402273,-50.33909681835388
1,2022-12-15T09:00:00Z,99990.75,6.077081298828148,49.98392868041992,1.110595703125,-0.971779763698578,0,0,0,245,9,2022-12-15T00:00:00Z,1.4757298956563079,-41.18617421348333
1,2022-12-15T12:00:00Z,100118.7578125,5.779168701171898,48.426475524902344,2.4759960174560547,-0.5058324933052063,0,0,0,244,12,2022-12-15T00:00:00Z,2.527137271645845,-11.54633167963366
1,2022-12-15T15:00:00Z,100339.6640625,7.783868408203148,50.89166259765625,2.5519092082977295,-0.6688207983970642,0,0,60,243,15,2022-12-15T00:00:00Z,2.6380981535498695,-14.686133877471114
1,2022-12-15T18:00:00Z,100356.6484375,12.094201660156273,36.043270111083984,2.6410131454467773,-2.073178768157959,0,0,270,249,18,2022-12-15T00:00:00Z,3.3575319267526904,-38.131691510276895
1,2022-12-15T21:00:00Z,100098.3671875,12.667321777343773,33.11510467529297,1.242956519126892,-1.5234179496765137,0,0,540,265,21,2022-12-15T00:00:00Z,1.9661493223650723,-50.78899865293458
1,2022-12-16T00:00:00Z,100143.5,8.852197265625023,44.3371467590332,-0.7868334650993347,-2.898730516433716,0,0,340,263.8377685546875,24,2022-12-15T00:00:00Z,3.003622064891704,-105.18648494533967
1,2022-12-16T03:00:00Z,100270.609375,6.574487304687523,52.7275505065918,-1.9559911489486697,-2.7851829528808594,0,0,0,256.190673828125,27,2022-12-15T00:00:00Z,3.4034020414555313,-125.07977763502134
1,2022-12-16T06:00:00Z,100383.90625,5.405419921875023,55.983131408691406,-2.175178289413452,-1.6179662942886353,0,0,0,254.190673828125,30,2022-12-15T00:00:00Z,2.710943658615894,-143.35696467290023
1,2022-12-16T09:00:00Z,100303.515625,5.030999755859398,53.106536865234375,-2.050004720687866,-0.6820483207702637,0,0,0,253.190673828125,33,2022-12-15T00:00:00Z,2.1604882010110753,-161.59742029577015
1,2022-12-16T12:00:00Z,100406.7578125,4.350061035156273,54.3627815246582,-1.4727697372436523,-2.10687255859375,0,8,0,252.98880004882813,36,2022-12-15T00:00:00Z,2.570595782517374,-124.95475098876992
1,2022-12-16T15:00:00Z,100668.1171875,5.541955566406273,50.94895553588867,-2.316640615463257,-4.773967266082764,0,3,60,249.05584716796875,39,2022-12-15T00:00:00Z,5.30637232003595,-115.88568944748508
1,2022-12-16T18:00:00Z,100686.1484375,6.581140136718773,45.156978607177734,-0.8994335532188416,-4.547641277313232,0.01999999955296516,25,180,264,42,2022-12-15T00:00:00Z,4.635733157093816,-101.18758883979176
