ensemble,forecast_datetime_UTC,air_pressure,air_temperature,relative_humidity,eastward_wind,northward_wind,precipitation_flux,cloud_area_fraction,surface_downwelling_shortwave_flux_in_air,surface_downwelling_longwave_flux_in_air,hours_since_forecast_issue,forecast_issue_datetime,wind_speed,wind_direction
1,2022-11-09T03:00:00Z,100586,21.910668945312523,80.79320526123047,-3.0797338485717773,2.185800790786743,0.20999999344348907,100,0,384,3,2022-11-09T00:00:00Z,3.7765706236005547,144.63527123755736
1,2022-11-09T06:00:00Z,100555.4921875,20.809259033203148,84.56623840332031,-1.8796740770339968,2.7562451362609863,0.20999999344348907,100,0,379.6746826171875,6,2022-11-09T00:00:00Z,3.3361747386844036,124.29278031481314
1,2022-11-09T09:00:00Z,100514.5703125,19.709863281250023,88.4266357421875,-0.69984370470047,2.3727879524230957,0,64,0,366,9,2022-11-09T00:00:00Z,2.4738439478215004,106.43319934117675
1,2022-11-09T12:00:00Z,100534.0234375,19.010217285156273,91.21321868896484,-0.9932982921600342,2.0065550804138184,0,77,0,365,12,2022-11-09T00:00:00Z,2.2389517163044284,116.33663762585569
1,2022-11-09T15:00:00Z,100680.2734375,21.649438476562523,83.37610626220703,-1.8404515981674192,2.557853937149048,0,100,80,360,15,2022-11-09T00:00:00Z,3.1511710282029908,125.73613274842018
1,2022-11-09T18:00:00Z,100479.625,26.5622497558594,58.80634307861328,-1.6522338390350342,5.663178443908691,0,71,300,367,18,2022-11-09T00:00:00Z,5.899276798591885,106.26461917235261
1,2022-11-09T21:00:00Z,100185.3984375,27.354455566406273,55.64642333984375,-1.8379076719284055,5.601059436798096,0,70,520,388,21,2022-11-09T00:00:00Z,5.894893673772097,108.1665110444999
1,2022-11-10T00:00:00Z,100083.46875,23.271508789062523,71.0809555053711,-1.7477319240570068,3.1599974632263184,0.00999999977648258,73,320,388,24,2022-11-09T00:00:00Z,3.611114903456379,118.94611120145467
1,2022-11-10T03:00:00Z,100134.0859375,21.344049072265648,79.48456573486328,-1.513637661933899,3.2057788372039795,0,61,0,368,27,2022-11-09T00:00:00Z,3.5451540057788207,115.27476512985182
1,2022-11-10T06:00:00Z,100031.9296875,20.204156494140648,84.476104736328125,-0.9919872879981996,4.460116863250732,0,40,0,365,30,2022-11-09T00:00:00Z,4.569100700729146,102.53921528941328
1,2022-11-10T09:00:00Z,99921.5859375,18.719293212890648,88.98992156982422,-0.47944822907447815,3.9721875190734863,0,55,0,351,33,2022-11-09T00:00:00Z,4.001017906863931,96.88238170068044
1,2022-11-10T12:00:00Z,99881.3359375,17.390679931640648,95.89031982421876,-1.2738598585128784,3.3509275913238525,0,28,0,346,36,2022-11-09T00:00:00Z,3.5848897697733926,110.8143713049384
1,2022-11-10T15:00:00Z,99918.875,20.442285156250023,78.2226791381836,-1.3533666133880615,5.189687252044678,0,9,110,341,39,2022-11-09T00:00:00Z,5.363250410363897,104.61606885921566
1,2022-11-10T18:00:00Z,99792.7265625,24.991326904296898,60.39973831176758,1.1935546398162842,4.382036209106445,0,5,320,351,42,2022-11-09T00:00:00Z,4.541675243359763,74.7636994782563
1,2022-11-10T21:00:00Z,99530.09375,24.826531982421898,64.8462905883789,1.051323175430298,2.654228448867798,0.04999999701976776,81,310,418,45,2022-11-09T00:00:00Z,2.854857102899548,68.3917934062749
1,2022-11-11T00:00:00Z,99424.8984375,22.579064941406273,75.44994354248047,-0.8828393220901489,1.8170385360717771,0.20000000298023224,81,186,414.3253173828125,48,2022-11-09T00:00:00Z,2.020157001373522,115.9135938610449
1,2022-11-11T03:00:00Z,99461.8984375,21.8620544433594,77.13460540771484,-1.0608569383621216,2.7236156463623047,0.1599999964237213,74,0,401,51,2022-11-09T00:00:00Z,2.922926552751644,111.28107149806499
