air_temperature,air_pressure,relative_humidity,surface_downwelling_longwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,precipitation_flux,eastward_wind,northward_wind,wind_speed,cloud_area_fraction,hours_since_forecast_issue,forecast_issue_datetime,ensemble,forecast_datetime_UTC,wind_direction
292.19757080078125,100603.25,83.70874786376953,389,0,0,-4.360471248626709,-2.8191308975219727,5.293723106384277,99,3,2022-05-23T00:00:00Z,00,2022-05-23T03:00:00Z,-147.1165326686711
291.2399597167969,100584.6484375,86.72338104248047,394.190673828125,0,0,-4.544572830200195,-2.3373632431030273,5.110421657562256,99,6,2022-05-23T00:00:00Z,00,2022-05-23T06:00:00Z,-152.78234943711882
289.8071594238281,100545.2109375,90.82112121582033,394.190673828125,0,0,-3.915832042694092,-2.0243122577667236,4.386621952056885,99,9,2022-05-23T00:00:00Z,00,2022-05-23T09:00:00Z,-152.6630326125242
290.0809326171875,100501.9921875,89.10008239746094,366,183.9903106689453,0,-3.1937255859375,-1.7767956256866455,3.654707431793213,79,12,2022-05-23T00:00:00Z,00,2022-05-23T12:00:00Z,-150.91108513741372
293.4764099121094,100459.1953125,77.58125305175781,366,656.6075439453125,0,-2.9269444942474365,-1.4937087297439575,3.304408550262451,79,15,2022-05-23T00:00:00Z,00,2022-05-23T15:00:00Z,-152.9633977683918
297.575439453125,100356.7890625,66.9000015258789,385,918.31201171875,0,-2.810253858566284,-1.0843347311019895,3.012193441390991,45,18,2022-05-23T00:00:00Z,00,2022-05-23T18:00:00Z,-158.90092250889816
299.6109619140625,100152.296875,67.177703857421875,385,681.96722412109375,0,-2.521282911300659,-0.45899447798728943,2.5228817462921143,45,21,2022-05-23T00:00:00Z,00,2022-05-23T21:00:00Z,-169.68240853443388
299.25347900390625,99937.6796875,71.86540222167969,371,96,0,-2.5230395793914795,0.478228747844696,2.567962646484375,62,24,2022-05-23T00:00:00Z,00,2022-05-24T00:00:00Z,169.2672135689158
296.9980163574219,99808.671875,73.56263732910156,371,0,0,-3.193227767944336,1.6719565391540527,3.667595863342285,62,27,2022-05-23T00:00:00Z,00,2022-05-24T03:00:00Z,152.36369233000488
294.20001220703125,99741.6171875,78.13335418701172,390,0,2.0833333837799728e-4,-3.782951593399048,2.4553918838500977,4.509952545166016,99,30,2022-05-23T00:00:00Z,00,2022-05-24T06:00:00Z,147.01369776848819
292.3976745605469,99692.4609375,90.23577880859376,390,0,2.0833333837799728e-4,-3.4885363578796387,2.49668025970459,4.055023193359375,99,33,2022-05-23T00:00:00Z,00,2022-05-24T09:00:00Z,144.40940962634932
293,99654.875,96.4408187866211,409,80.32745361328125,1.5277777856681496e-4,-2.4137890338897705,3.415153741836548,4.182063102722168,100,36,2022-05-23T00:00:00Z,00,2022-05-24T12:00:00Z,125.25220404750188
296.4680480957031,99610.9375,85.345458984375,409,285.2077941894531,1.5277777856681496e-4,-1.1269704103469849,6.462503910064697,6.615082263946533,100,39,2022-05-23T00:00:00Z,00,2022-05-24T15:00:00Z,99.89210945512649
