Variable,Importance
doy,1333836.9579425065
DewPoint_C,107864.61291410777
Depth_m,41391.27751574187
AirTemp_C,20792.483237468896
Pressure_hPa,6007.16434793055
SWind_m.s,4135.953885088955
WWind_m.s,1636.5313559744106
hour_of_day,1608.4617837036844
Cloud_cov_fraction,1104.4963995793505
