Depth_m,.estimate
0,0.21538994211384435
0.5,0.10438385732836386
1,0.07719430586877495
1.5,0.07198476981712192
2,0.06321192602526259
2.5,0.0714789973307488
3,0.0849155431713789
3.5,0.08612380040850832
4,0.08494506062236705
4.5,0.09802470706204162
5,0.11556900809587536
5.5,0.1126904747252214
6,0.13438228004380187
6.5,0.16048788275314002
7,0.15820091855532903
7.5,0.11594874200847852
8,0.11032076019623037
8.5,0.11738517144029077
9,0.1424887611318685
9.5,0.15221279079848213
10,0.1549554194002624
