Variable,Importance
lag_WaterTemp_C,620650.2064858455
doy,384599.0483059172
DewPoint_C,189941.2881820424
AirTemp_C,168693.754575704
Pressure_hPa,54801.658444224464
SWind_m.s,25706.69532541444
Cloud_cov_fraction,18885.664339966785
Depth_m,14224.602596731796
WWind_m.s,9625.27711188031
hour_of_day,6425.904733258294
