reference_datetime,site_id,datetime,family,variable,observation,crps,logs,mean,median,sd,quantile97.5,quantile02.5,quantile90,quantile10,horizon
2022-07-23T00:00:00Z,0,2022-07-23T00:00:00Z,sample,oxygen,9.981,0.8675359407266037,41.92334754957402,8.950688929804006,8.9867800929071,0.3047924029829328,9.595495082904227,8.285656808824514,9.58959617179312,8.439431190375643,0
2022-07-23T00:00:00Z,0,2022-07-23T02:00:00Z,sample,oxygen,7.982,1.2710906132327981,657.2904431942297,9.360546715863158,9.28759402803308,0.21732582855783913,9.947414105859048,9.145621249567093,9.924832992366984,9.152926995876346,7200
2022-07-23T00:00:00Z,0,2022-07-23T04:00:00Z,sample,oxygen,7.005,2.2313706952985277,Inf,9.356950157204977,9.292814591247636,0.24068379821139388,9.96767632603332,9.12477086332001,9.961166532093928,9.14232224586232,14400
2022-07-23T00:00:00Z,0,2022-07-23T06:00:00Z,sample,oxygen,6.548,2.761861763478644,544.5366386714702,9.463751897035179,9.5153517478948,0.2713437052617751,9.807904402312891,8.947480470158926,9.806448165039054,9.075604920562768,21600
2022-07-23T00:00:00Z,0,2022-07-23T08:00:00Z,sample,oxygen,6.006,3.067904727741487,Inf,9.199250909794674,9.281545537617935,0.2240967075620863,9.471128630380733,8.82912178496503,9.458760973881674,8.859117420829167,28800
2022-07-23T00:00:00Z,0,2022-07-23T10:00:00Z,sample,oxygen,5.713,3.2353517785689565,Inf,9.07558456096029,9.142055074131424,0.22363137988627776,9.427861616283716,8.712887341967507,9.418643605722052,8.759253093734046,36000
2022-07-23T00:00:00Z,0,2022-07-23T12:00:00Z,sample,oxygen,6.056,2.8588116237766044,Inf,8.998236890266586,8.971655030018349,0.14722879931308433,9.244983151215452,8.720420249482219,9.222332766137784,8.773143023730192,43200
2022-07-23T00:00:00Z,0,2022-07-23T14:00:00Z,sample,oxygen,6.271000000000012,2.8315642790422935,Inf,9.223557308868994,9.202084245354648,0.21274403511901005,9.555020039660338,8.882055512759463,9.51964354017094,8.907297002392054,50400
2022-07-23T00:00:00Z,0,2022-07-23T16:00:00Z,sample,oxygen,7.019,2.270674147577291,625.6072351852268,9.410208914168162,9.406812220268622,0.21183761793835612,9.70491376267767,9.02873195177046,9.699082913182725,9.028903755416811,57600
2022-07-23T00:00:00Z,0,2022-07-23T18:00:00Z,sample,oxygen,7.938000000000002,1.2556380422542421,695.0310364957841,9.299611519868662,9.225408507359312,0.22474879923773242,9.862057937706735,9.090068861094462,9.782507387912084,9.11692464095904,64800
2022-07-23T00:00:00Z,0,2022-07-23T20:00:00Z,sample,oxygen,7.528,2.1135407981851246,Inf,9.744885064655492,9.662909303224556,0.21677751729998068,10.24267146734377,9.492171160955712,10.234977223476529,9.551202026168284,72000
2022-07-23T00:00:00Z,0,2022-07-23T22:00:00Z,sample,oxygen,9.896,0.3234463925220814,0.1868000402138728,9.480753459826024,9.431174580813632,0.17633788190145244,9.918461616428024,9.227872935370192,9.879023547885454,9.2668776415973,79200
2022-07-23T00:00:00Z,0,2022-07-24T00:00:00Z,sample,oxygen,11.127,1.7505187068222443,614.2356973057219,9.282800273879413,9.274465787845497,0.16387055675153137,9.587038893560235,8.991823199667003,9.55124803980464,9.06859123651348,86400
2022-07-23T00:00:00Z,0,2022-07-24T02:00:00Z,sample,oxygen,10.901,1.2550842024639006,166.8905400011997,9.527553672054667,9.492299138689088,0.21100167537962491,9.869913591785991,9.200855525641025,9.866428674037074,9.2454863180708209,93600
2022-07-23T00:00:00Z,0,2022-07-24T04:00:00Z,sample,oxygen,10.038,0.41682672415600397,2.501098021924412,9.493215419371953,9.46276053904984,0.22632304229390282,9.950241893206789,9.208717745543346,9.868893522816398,9.211088939149738,100800
2022-07-23T00:00:00Z,0,2022-07-24T06:00:00Z,sample,oxygen,8.346,1.2810712764318084,Inf,9.643929842534659,9.632751512136398,0.03151900455103348,9.717243197213898,9.596828187434784,9.71719682002676,9.611004862037962,108000
2022-07-23T00:00:00Z,0,2022-07-24T08:00:00Z,sample,oxygen,8.119,1.3074193843167459,Inf,9.4469933443349845,9.44794005331744,0.03872788836143839,9.519216648422333,9.32345105952936,9.516916087383372,9.410469749676636,115200
2022-07-23T00:00:00Z,0,2022-07-24T10:00:00Z,sample,oxygen,7.938000000000002,1.281921431927242,Inf,9.245906015269673,9.242512679265174,0.05310986711690104,9.41346408155178,9.067261300427347,9.307214069474968,9.181911826517924,122400
2022-07-23T00:00:00Z,0,2022-07-24T12:00:00Z,sample,oxygen,7.217,1.8643668684581385,Inf,9.133514591807067,9.145077334426688,0.09230101881051637,9.27349763518703,8.917873200532801,9.239075283427685,8.973144383494283,129600
2022-07-23T00:00:00Z,0,2022-07-24T14:00:00Z,sample,oxygen,6.51,2.7653297050585217,Inf,9.344200520932315,9.352723193717395,0.1228374924781543,9.544752544222447,9.06376317784438,9.499494555666551,9.124048275968477,136800
2022-07-23T00:00:00Z,0,2022-07-24T16:00:00Z,sample,oxygen,7.389,2.060637536008426,Inf,9.5213850617388065,9.56257999484959,0.13366761001171024,9.74091224035964,9.211280968983305,9.70238528292818,9.249803213827349,144000
2022-07-23T00:00:00Z,0,2022-07-24T18:00:00Z,sample,oxygen,8.674,0.6884982500780126,29.712065062729906,9.492212023084646,9.486568313938347,0.22849279950874993,9.818604256876451,9.134443975998511,9.81068606293706,9.160536571728272,151200
